timestamp,value
2026-04-29 21:05:49+00,0.498575
2026-04-29 21:05:55+00,0.623997
2026-04-29 21:06:05+00,0.677362
2026-04-29 21:06:15+00,0.695683
2026-04-29 21:06:25+00,0.749064
2026-04-29 21:06:35+00,0.762141
2026-04-29 21:06:45+00,0.815747
2026-04-29 21:06:55+00,0.761736
2026-04-29 21:07:05+00,0.763494
2026-04-29 21:07:15+00,0.781111
2026-04-29 21:07:25+00,0.782083
2026-04-29 21:07:35+00,0.818505
2026-04-29 21:07:45+00,0.801853
2026-04-29 21:07:55+00,0.765806
2026-04-29 21:08:05+00,0.764988
2026-04-29 21:08:15+00,0.747198
2026-04-29 21:08:25+00,0.69358
2026-04-29 21:08:35+00,0.69321
2026-04-29 21:08:45+00,0.710606
2026-04-29 21:08:55+00,0.692964
2026-04-29 21:09:05+00,0.692472
2026-04-29 21:09:15+00,0.693333
2026-04-29 21:09:25+00,0.745871
2026-04-29 21:09:35+00,0.746004
2026-04-29 21:09:45+00,0.746269
2026-04-29 21:09:55+00,0.76567
2026-04-29 21:10:05+00,0.765533
2026-04-29 21:10:15+00,0.746932
2026-04-29 21:10:25+00,0.747863
2026-04-29 21:10:35+00,0.747198
2026-04-29 21:10:45+00,0.728112
2026-04-29 21:10:55+00,0.72695
2026-04-29 21:11:05+00,0.726821
2026-04-29 21:11:15+00,0.744681
2026-04-29 21:11:25+00,0.744549
2026-04-29 21:11:35+00,0.72695
2026-04-29 21:11:45+00,0.726306
2026-04-29 21:11:55+00,0.707965
